ID_Venta,Producto,Precio_Unitario,Cantidad
90,Mouse,727.53,2
91,Router WiFi,76.94,4
92,Silla Gamer,120.06,10
93,Monitor,501.29,1
94,Router WiFi,88.59,10
95,Router WiFi,454.67,5
96,Monitor,576.7,6
97,Monitor,241.09,3
98,Webcam,400.22,2
99,Laptop,401.1,10
100,Mouse,81.34,4
101,Impresora,240.75,6
102,Mouse,750.73,6
103,Webcam,151.51,9
104,Webcam,528.49,9
105,Laptop,575.15,9
106,Webcam,794.31,2
107,Teclado,240.14,2
108,Impresora,149.6,5
109,Router WiFi,195.43,6
110,Monitor,591.46,5
111,Impresora,426.22,1
112,Mouse,547.27,5
113,Laptop,23.44,3
114,Webcam,154.69,8
115,Impresora,606.55,9
116,Laptop,113.41,3
117,Impresora,50.42,6
118,Router WiFi,479.37,7
119,Teclado,55.24,6
120,Laptop,767.05,4
121,Monitor,574.38,6
122,Impresora,754.77,7
123,Router WiFi,642.93,4
124,Teclado,831.23,3
125,Silla Gamer,41.08,6
126,Silla Gamer,686.75,4
127,Webcam,152.71,2
128,Silla Gamer,744.83,8
129,Monitor,186.24,8
130,Micrófono,273.96,4
131,Monitor,40.15,4
132,Silla Gamer,293.12,2
133,Webcam,312.12,9
134,Silla Gamer,584.83,9
135,Micrófono,800.53,2
136,Webcam,168.8,5
137,Laptop,110.53,7
138,Micrófono,625.55,6
139,Silla Gamer,523.95,9
140,Mouse,340.4,10
141,Monitor,232.04,7
142,Laptop,452.29,9
143,Monitor,322.98,2
144,Micrófono,538.02,2
145,Webcam,441.66,7
146,Micrófono,354.69,5
147,Impresora,126.21,7
148,Silla Gamer,583.01,3
149,Router WiFi,493.14,7
150,Impresora,712.9,5
151,Webcam,195.05,10
152,Router WiFi,564.23,8
153,Auriculares,387.71,4
154,Impresora,413.48,3
155,Mouse,256.18,10
156,Micrófono,98.06,4
157,Webcam,207.06,4
158,Teclado,40.79,4
159,Auriculares,528.16,2
160,Auriculares,364.69,10
161,Monitor,617.08,7
162,Auriculares,352.41,3
163,Laptop,761.85,2
164,Silla Gamer,202.25,9
165,Auriculares,62.21,4
166,Mouse,399.59,8
167,Impresora,840.93,10
168,Micrófono,809.5,8
169,Router WiFi,697.35,9
170,Silla Gamer,710.28,9
171,Auriculares,765.62,8
172,Auriculares,235.76,4
173,Webcam,656.5,9
174,Auriculares,541.01,5
175,Auriculares,84.85,5
176,Monitor,246.16,6
177,Impresora,87.42,3
178,Monitor,338.61,3
179,Monitor,73.84,7
180,Micrófono,471.13,7
181,Laptop,192.27,7
182,Silla Gamer,771.96,10
183,Laptop,732.01,10
184,Silla Gamer,416.63,6
185,Webcam,646.25,7
186,Impresora,641.3,9
187,Router WiFi,766.12,8
188,Monitor,247.17,8
189,Laptop,343.44,7
190,Teclado,718.53,3
191,Router WiFi,464.08,7
192,Router WiFi,489.22,1
193,Mouse,554.3,3
194,Auriculares,171.42,5
195,Silla Gamer,292.36,8
196,Micrófono,300.79,7
197,Webcam,645.04,7
198,Webcam,713.89,8
199,Laptop,642.56,1
200,Micrófono,206.71,2
201,Laptop,646.88,4
202,Monitor,717.47,10
203,Teclado,218.61,8
204,Mouse,488.87,4
205,Auriculares,601.4,6
206,Teclado,523.69,2
207,Teclado,821.69,2
208,Router WiFi,41.83,5
209,Router WiFi,583.03,7
210,Silla Gamer,802.38,4
211,Mouse,512.23,4
212,Mouse,599.51,5
213,Router WiFi,689.48,10
214,Laptop,308.85,7
215,Micrófono,77.77,6
216,Laptop,726.06,8
217,Mouse,380.54,6
218,Auriculares,607.91,7
219,Teclado,629.91,5
220,Router WiFi,691.7,9
221,Auriculares,406.57,10
222,Webcam,288.17,4
223,Mouse,252.15,8
224,Monitor,643.76,10
225,Router WiFi,575.42,6
226,Laptop,431.02,6
227,Teclado,425.41,6
228,Webcam,303.15,10
229,Webcam,482.08,9
230,Monitor,91.6,7
231,Auriculares,481.57,4
232,Auriculares,556.92,8
233,Auriculares,679.02,2
234,Webcam,204.53,4
235,Webcam,571.91,6
236,Auriculares,480.15,6
237,Silla Gamer,848.19,9
238,Micrófono,312.68,8
239,Webcam,275.15,4
240,Mouse,619.52,6
241,Mouse,637.46,3
242,Monitor,200.21,8
243,Webcam,622.26,9
244,Router WiFi,255.53,2
245,Monitor,266.53,6
246,Teclado,271.53,9
247,Teclado,248.31,1
248,Impresora,263.12,3
249,Auriculares,105.7,1
250,Router WiFi,256.64,8
251,Auriculares,303.45,1
252,Webcam,802.04,8
253,Mouse,703.26,7
254,Auriculares,82.02,1
255,Teclado,144.41,10
256,Webcam,91.24,4
257,Mouse,483.97,7
258,Router WiFi,515.58,10
259,Monitor,664.71,7
260,Auriculares,775.0,5
261,Router WiFi,842.71,5
262,Router WiFi,536.26,10
263,Mouse,807.46,4
264,Monitor,240.29,2
265,Teclado,219.71,9
266,Mouse,150.5,7
267,Auriculares,593.02,8
268,Webcam,47.61,5
269,Webcam,604.32,8
270,Mouse,591.37,5
271,Router WiFi,569.61,4
272,Silla Gamer,115.82,4
273,Teclado,774.93,3
274,Mouse,70.03,5
275,Router WiFi,642.5,10
276,Webcam,385.21,8
277,Webcam,601.62,5
278,Impresora,468.95,8
279,Mouse,517.16,7
280,Micrófono,521.88,1
281,Mouse,210.62,10
282,Router WiFi,810.12,5
283,Router WiFi,53.91,3
284,Auriculares,451.49,8
285,Webcam,171.22,10
286,Silla Gamer,547.68,8
287,Mouse,410.84,7
288,Micrófono,287.14,2
289,Teclado,294.4,8
290,Webcam,570.77,7
291,Impresora,50.98,2
292,Micrófono,230.11,2
293,Silla Gamer,738.8,1
294,Impresora,404.17,1
295,Monitor,451.06,10
296,Auriculares,539.9,1
297,Monitor,242.29,3
298,Webcam,384.35,8
299,Mouse,44.48,10
300,Monitor,609.97,5
301,Impresora,31.86,7
302,Mouse,207.11,2
303,Auriculares,807.02,3
304,Auriculares,795.06,5
305,Impresora,606.34,7
306,Auriculares,834.58,4
307,Auriculares,478.32,7
308,Monitor,786.1,9
309,Teclado,738.07,5
310,Silla Gamer,302.76,9
311,Webcam,701.96,5
312,Webcam,716.02,10
313,Auriculares,739.09,8
314,Impresora,422.74,6
315,Impresora,654.06,7
316,Auriculares,795.22,4
317,Monitor,495.37,4
318,Silla Gamer,56.75,8
319,Silla Gamer,341.13,3
320,Auriculares,821.78,3
321,Impresora,822.22,6
322,Mouse,746.51,8
323,Mouse,457.3,8
324,Laptop,620.48,7
325,Teclado,82.64,5
326,Micrófono,538.11,7
327,Mouse,727.88,9
328,Silla Gamer,812.9,8
329,Impresora,50.31,2
330,Monitor,544.67,5
331,Monitor,640.68,7
332,Mouse,651.98,2
333,Auriculares,158.66,5
334,Laptop,58.7,1
335,Webcam,318.2,7
336,Teclado,223.3,7
337,Router WiFi,586.73,3
338,Teclado,165.89,10
339,Silla Gamer,535.16,4
340,Auriculares,778.6,3
341,Monitor,403.48,5
342,Auriculares,232.55,1
343,Auriculares,768.95,9
344,Teclado,81.84,6
345,Router WiFi,268.94,7
346,Webcam,399.9,5
347,Monitor,850.47,8
348,Mouse,217.5,10
349,Micrófono,497.88,5
350,Laptop,832.67,7
351,Webcam,27.23,1
352,Router WiFi,639.36,5
353,Monitor,524.66,6
354,Monitor,549.2,10
355,Webcam,583.38,3
356,Mouse,770.77,1
357,Webcam,675.43,1
358,Router WiFi,323.51,3
359,Mouse,775.94,6
360,Silla Gamer,166.37,3
361,Impresora,748.39,6
362,Impresora,437.24,5
363,Teclado,233.91,8
364,Webcam,640.51,6
365,Mouse,409.44,2
366,Teclado,646.82,4
367,Silla Gamer,823.81,9
368,Micrófono,95.5,7
369,Laptop,240.13,2
370,Auriculares,326.61,5
371,Router WiFi,336.94,6
372,Mouse,580.95,8
373,Laptop,535.03,9
374,Micrófono,780.61,4
375,Mouse,548.2,8
376,Webcam,559.69,2
377,Teclado,58.16,1
378,Webcam,847.61,2
379,Mouse,215.5,9
380,Teclado,343.27,6
381,Impresora,368.58,3
382,Silla Gamer,564.41,8
383,Router WiFi,359.44,5
384,Laptop,593.77,4
385,Auriculares,389.82,4
386,Micrófono,103.01,6
387,Impresora,769.35,6
388,Laptop,351.15,4
389,Mouse,808.64,8
390,Mouse,570.92,10
391,Laptop,62.5,6
392,Monitor,841.71,10
393,Monitor,77.48,9
394,Monitor,507.49,4
395,Micrófono,663.61,10
396,Laptop,250.77,3
397,Teclado,469.14,3
398,Mouse,569.5,1
399,Teclado,32.84,4
400,Router WiFi,289.39,3
401,Webcam,64.02,7
402,Impresora,114.88,2
403,Auriculares,392.79,6
404,Impresora,513.53,8
405,Impresora,204.49,10
406,Laptop,624.47,9
407,Webcam,400.9,1
408,Laptop,849.82,7
409,Silla Gamer,590.3,8
410,Auriculares,81.53,2
411,Micrófono,525.68,2
412,Teclado,248.9,10
413,Impresora,611.94,7
414,Router WiFi,461.12,8
415,Impresora,523.3,2
416,Mouse,728.74,9
417,Monitor,377.67,4
418,Silla Gamer,301.98,8
419,Silla Gamer,365.98,2
420,Micrófono,374.92,5
421,Micrófono,812.45,8
422,Mouse,96.26,2
423,Mouse,379.17,6
424,Teclado,482.56,10
425,Impresora,486.97,2
426,Silla Gamer,314.16,7
427,Laptop,824.75,10
428,Webcam,312.54,10
429,Impresora,197.18,8
430,Monitor,724.15,6
431,Impresora,325.76,5
432,Router WiFi,208.32,7
433,Impresora,829.85,10
434,Router WiFi,581.06,9
435,Laptop,526.26,5
436,Laptop,170.33,5
437,Micrófono,312.02,3
438,Teclado,490.82,7
439,Mouse,138.33,1
440,Mouse,640.14,4
441,Silla Gamer,369.17,6
442,Teclado,327.83,6
443,Router WiFi,515.66,1
444,Teclado,151.23,10
445,Laptop,580.22,5
446,Auriculares,570.23,8
447,Router WiFi,387.61,5
448,Monitor,647.47,2
449,Micrófono,377.54,5
450,Router WiFi,424.64,5
451,Laptop,203.64,10
452,Laptop,26.88,5
453,Monitor,657.78,5
454,Webcam,293.0,1
455,Auriculares,640.89,3
456,Teclado,336.26,4
457,Impresora,484.51,6
458,Mouse,350.26,1
459,Silla Gamer,36.06,2
460,Micrófono,498.66,10
461,Silla Gamer,609.73,7
462,Webcam,116.15,1
463,Micrófono,163.24,10
464,Auriculares,711.49,6
465,Mouse,383.18,2
466,Monitor,382.32,7
467,Impresora,85.82,5
468,Micrófono,204.51,3
469,Mouse,444.45,2
470,Impresora,444.01,6
471,Micrófono,624.58,3
472,Monitor,105.88,5
473,Monitor,164.59,3
474,Mouse,167.62,8
475,Auriculares,647.06,10
476,Auriculares,586.17,10
477,Router WiFi,288.92,6
478,Teclado,385.72,8
479,Auriculares,544.86,5
480,Router WiFi,67.15,9
481,Mouse,278.29,8
482,Laptop,67.75,5
483,Mouse,555.89,2
484,Router WiFi,513.88,7
485,Auriculares,502.46,1
486,Auriculares,775.46,10
487,Monitor,287.52,8
488,Impresora,145.79,1
489,Auriculares,106.46,6
490,Mouse,439.52,3
491,Laptop,226.25,8
492,Auriculares,455.73,10
493,Teclado,322.71,5
494,Silla Gamer,359.98,6
495,Router WiFi,63.99,6
496,Mouse,294.3,9
497,Silla Gamer,256.48,10
498,Teclado,297.35,10
499,Teclado,781.85,5
500,Silla Gamer,127.59,2
501,Webcam,484.68,6
502,Teclado,577.02,9
503,Mouse,557.02,7
504,Impresora,320.99,6
505,Webcam,170.21,4
506,Micrófono,807.53,8
507,Monitor,208.64,3
508,Teclado,84.58,2
509,Impresora,660.7,9
510,Laptop,570.23,10
511,Teclado,516.51,3
512,Teclado,170.69,10
513,Teclado,619.44,1
514,Silla Gamer,323.05,4
515,Auriculares,527.59,8
516,Monitor,463.99,5
517,Auriculares,771.24,4
518,Micrófono,583.83,10
519,Auriculares,403.92,5
520,Silla Gamer,438.16,7
521,Teclado,698.92,10
522,Teclado,745.52,1
523,Auriculares,746.45,9
524,Mouse,611.31,9
525,Mouse,257.24,3
526,Webcam,393.66,9
527,Teclado,710.68,2
528,Monitor,698.76,6
529,Laptop,365.07,7
530,Impresora,331.07,7
531,Mouse,331.86,1
532,Micrófono,793.54,6
533,Teclado,134.78,5
534,Auriculares,598.58,3
535,Auriculares,393.06,1
536,Mouse,36.28,4
537,Teclado,476.28,10
538,Impresora,372.01,5
539,Monitor,270.6,1
540,Monitor,369.16,10
541,Auriculares,72.66,8
542,Router WiFi,465.69,9
543,Router WiFi,221.43,3
544,Webcam,376.98,10
545,Micrófono,220.29,7
546,Teclado,572.25,2
547,Impresora,829.94,2
548,Impresora,472.35,9
549,Impresora,37.39,8
550,Laptop,548.42,6
551,Webcam,641.14,6
552,Mouse,306.86,2
553,Router WiFi,631.07,6
554,Teclado,57.32,9
555,Micrófono,696.11,3
556,Auriculares,835.06,8
557,Teclado,694.44,2
558,Auriculares,51.21,4
559,Laptop,677.51,1
560,Micrófono,795.66,9
561,Silla Gamer,841.96,9
562,Auriculares,230.87,4
563,Webcam,316.96,1
564,Micrófono,247.4,6
565,Silla Gamer,759.21,8
566,Silla Gamer,302.07,3
567,Auriculares,595.26,6
568,Impresora,242.01,2
569,Silla Gamer,86.05,10
570,Teclado,473.51,6
571,Mouse,87.0,5
572,Webcam,390.83,7
573,Teclado,593.34,6
574,Auriculares,55.68,6
575,Router WiFi,849.45,5
576,Laptop,82.82,7
577,Micrófono,446.61,3
578,Laptop,139.08,10
579,Auriculares,49.4,2
580,Monitor,667.05,6
581,Micrófono,338.46,10
582,Laptop,523.03,8
583,Micrófono,329.45,2
584,Router WiFi,134.85,6
585,Silla Gamer,281.59,5
586,Monitor,818.2,1
587,Teclado,434.95,7
588,Impresora,118.3,5
589,Auriculares,198.7,10
590,Webcam,596.84,8
591,Monitor,122.35,2
592,Auriculares,163.89,8
593,Mouse,693.62,6
594,Micrófono,609.77,9
595,Impresora,261.64,5
596,Teclado,611.65,3
597,Micrófono,443.02,2
598,Monitor,678.3,4
599,Auriculares,42.33,9
600,Router WiFi,326.88,9
601,Teclado,528.72,2
602,Mouse,277.36,8
603,Impresora,361.66,7
604,Router WiFi,81.75,6
605,Mouse,394.2,9
606,Micrófono,127.08,9
607,Router WiFi,171.62,3
608,Silla Gamer,438.12,1
609,Mouse,450.78,5
610,Teclado,155.01,4
611,Micrófono,807.38,9
612,Webcam,723.04,5
613,Monitor,547.91,9
614,Webcam,124.45,5
615,Router WiFi,463.55,9
616,Teclado,511.99,10
617,Teclado,162.68,10
618,Router WiFi,300.89,10
619,Laptop,705.85,1
620,Mouse,58.26,10
621,Webcam,561.26,10
622,Silla Gamer,533.83,1
623,Auriculares,758.8,9
624,Webcam,553.6,5
625,Auriculares,223.87,7
626,Webcam,397.16,1
627,Teclado,385.59,8
628,Auriculares,189.94,10
629,Teclado,280.1,6
630,Micrófono,830.54,3
631,Micrófono,448.19,2
632,Micrófono,221.26,2
633,Webcam,393.88,3
634,Mouse,62.53,7
635,Router WiFi,367.76,3
636,Micrófono,795.97,6
637,Monitor,654.26,8
638,Impresora,408.19,5
639,Auriculares,39.75,7
640,Impresora,400.23,4
641,Monitor,504.96,1
642,Laptop,254.16,10
643,Auriculares,257.81,1
644,Mouse,378.38,5
645,Micrófono,654.88,6
646,Laptop,353.18,10
647,Impresora,182.16,9
648,Webcam,81.57,9
649,Auriculares,655.33,5
650,Router WiFi,585.56,2
651,Teclado,830.3,7
652,Micrófono,680.65,6
653,Impresora,800.29,3
654,Monitor,520.84,7
655,Impresora,53.93,1
656,Teclado,613.13,8
657,Impresora,400.02,10
658,Impresora,136.59,10
659,Micrófono,155.46,10
660,Webcam,513.58,9
661,Impresora,462.6,10
662,Webcam,414.89,1
663,Micrófono,295.59,2
664,Silla Gamer,505.26,1
665,Router WiFi,414.64,10
666,Router WiFi,209.47,1
667,Router WiFi,419.51,9
668,Router WiFi,663.8,7
669,Teclado,702.88,4
670,Laptop,496.01,2
671,Monitor,36.23,6
672,Silla Gamer,146.26,4
673,Silla Gamer,437.26,10
674,Auriculares,745.37,1
675,Teclado,451.26,9
676,Micrófono,849.43,8
677,Impresora,333.45,3
678,Auriculares,778.01,6
679,Impresora,314.73,5
680,Router WiFi,422.61,4
681,Webcam,483.99,4
682,Webcam,660.95,4
683,Auriculares,283.8,6
684,Impresora,795.93,5
685,Webcam,121.72,9
686,Silla Gamer,764.42,7
687,Micrófono,813.29,3
688,Webcam,55.44,2
689,Micrófono,787.88,5
690,Auriculares,198.21,9
691,Webcam,795.37,5
692,Teclado,111.21,10
693,Monitor,221.86,9
694,Monitor,550.31,1
695,Mouse,363.74,8
696,Mouse,586.22,3
697,Laptop,821.52,3
698,Silla Gamer,562.72,8
699,Auriculares,560.77,5
700,Micrófono,257.53,1
701,Mouse,562.23,4
702,Impresora,633.97,1
703,Teclado,367.55,3
704,Laptop,848.64,7
705,Auriculares,175.23,5
706,Laptop,28.2,10
707,Router WiFi,109.61,6
708,Webcam,397.83,9
709,Impresora,430.69,3
710,Impresora,409.19,4
711,Mouse,295.13,8
712,Webcam,617.29,1
713,Micrófono,677.22,10
714,Monitor,166.25,7
715,Silla Gamer,448.44,2
716,Silla Gamer,576.31,3
717,Teclado,417.02,4
718,Laptop,237.08,4
719,Auriculares,646.49,6
720,Webcam,504.23,10
721,Laptop,237.72,6
722,Monitor,72.09,2
723,Auriculares,275.3,7
724,Impresora,787.13,5
725,Mouse,550.94,5
726,Micrófono,530.94,4
727,Teclado,417.63,8
728,Router WiFi,330.79,9
729,Auriculares,649.47,4
730,Monitor,585.52,10
731,Mouse,456.93,9
732,Micrófono,85.36,10
733,Mouse,71.79,9
734,Impresora,188.39,9
735,Teclado,157.15,9
736,Auriculares,117.04,4
737,Router WiFi,426.47,9
738,Auriculares,692.11,8
739,Teclado,446.75,8
740,Router WiFi,68.45,8
741,Webcam,621.18,7
742,Webcam,698.56,4
743,Router WiFi,81.15,7
744,Micrófono,602.16,9
745,Laptop,796.66,2
746,Auriculares,46.86,7
747,Teclado,659.12,7
748,Micrófono,845.06,7
749,Auriculares,742.71,7
750,Silla Gamer,87.15,9
751,Teclado,563.25,6
752,Mouse,168.72,9
753,Silla Gamer,459.7,4
754,Laptop,648.5,5
755,Auriculares,579.83,9
756,Silla Gamer,462.27,4
757,Monitor,403.04,3
758,Webcam,177.03,2
759,Laptop,692.76,7
760,Router WiFi,656.7,1
761,Monitor,191.65,2
762,Router WiFi,48.38,10
763,Laptop,223.75,1
764,Silla Gamer,385.05,9
765,Monitor,647.01,1
766,Teclado,438.98,5
767,Monitor,698.0,10
768,Micrófono,500.09,6
769,Monitor,271.11,3
770,Impresora,204.07,5
771,Webcam,71.12,10
772,Teclado,540.38,7
773,Impresora,432.11,6
774,Silla Gamer,673.1,6
775,Silla Gamer,359.56,5
776,Silla Gamer,173.21,9
777,Auriculares,220.62,4
778,Webcam,732.68,3
779,Auriculares,780.18,9
780,Silla Gamer,824.24,9
781,Impresora,131.86,4
782,Webcam,189.37,2
783,Auriculares,724.04,2
784,Impresora,622.26,4
785,Laptop,243.45,10
786,Router WiFi,53.34,2
787,Monitor,688.75,10
788,Impresora,200.73,4
789,Micrófono,272.29,1
790,Monitor,798.8,2
791,Auriculares,779.93,10
792,Monitor,349.9,4
793,Impresora,287.6,5
794,Silla Gamer,407.72,6
795,Webcam,237.72,9
796,Auriculares,407.51,8
797,Micrófono,779.84,6
798,Micrófono,364.26,10
799,Monitor,636.1,1
800,Webcam,480.02,10
801,Router WiFi,618.46,5
802,Teclado,183.44,4
803,Silla Gamer,493.7,4
804,Auriculares,477.8,6
805,Webcam,654.46,8
806,Auriculares,403.21,6
807,Teclado,136.73,9
808,Auriculares,173.35,9
809,Laptop,455.63,2
810,Laptop,655.28,7
811,Teclado,720.22,4
812,Mouse,607.8,1
813,Monitor,440.51,6
814,Laptop,533.61,10
815,Auriculares,568.03,1
816,Laptop,462.5,7
817,Laptop,34.39,5
818,Impresora,832.29,1
819,Impresora,695.82,7
820,Teclado,109.38,2
821,Impresora,144.16,4
822,Router WiFi,457.72,6
823,Webcam,680.69,2
824,Micrófono,817.19,8
825,Router WiFi,222.48,4
826,Webcam,588.59,2
827,Laptop,98.15,7
828,Silla Gamer,479.51,1
829,Laptop,604.21,2
830,Auriculares,722.54,6
831,Router WiFi,832.16,2
832,Impresora,783.85,4
833,Monitor,769.0,10
834,Auriculares,245.64,2
835,Webcam,767.37,10
836,Laptop,169.45,6
837,Laptop,818.99,10
838,Teclado,645.24,7
839,Mouse,269.05,10
840,Monitor,491.14,7
841,Impresora,296.0,3
842,Mouse,436.4,6
843,Laptop,101.63,4
844,Mouse,303.36,10
845,Router WiFi,349.96,6
846,Laptop,547.13,8
847,Auriculares,209.97,9
848,Silla Gamer,379.15,10
849,Silla Gamer,91.67,10
850,Webcam,683.28,2
851,Mouse,243.05,7
852,Teclado,634.78,6
853,Micrófono,108.99,1
854,Webcam,389.85,5
855,Mouse,130.55,3
856,Silla Gamer,393.26,9
857,Impresora,359.38,1
858,Mouse,314.42,2
859,Router WiFi,517.17,6
860,Silla Gamer,30.75,7
861,Silla Gamer,667.59,9
862,Monitor,495.51,3
863,Silla Gamer,161.27,5
864,Webcam,243.41,3
865,Mouse,159.36,5
866,Silla Gamer,269.44,2
867,Micrófono,229.53,4
868,Auriculares,513.65,4
869,Auriculares,109.34,5
870,Laptop,808.49,6
871,Router WiFi,335.99,6
872,Auriculares,298.5,10
873,Teclado,270.01,10
874,Monitor,418.31,3
875,Silla Gamer,825.02,5
876,Auriculares,824.22,4
877,Micrófono,332.81,7
878,Micrófono,115.08,10
879,Monitor,512.34,9
880,Teclado,586.66,9
881,Laptop,811.96,8
882,Monitor,384.63,5
883,Mouse,700.64,7
884,Auriculares,136.09,5
885,Monitor,230.35,3
886,Silla Gamer,675.82,2
887,Auriculares,843.27,8
888,Router WiFi,353.36,9
889,Silla Gamer,471.99,6
890,Impresora,513.66,2
891,Mouse,659.11,6
892,Teclado,557.83,1
893,Router WiFi,837.38,7
894,Micrófono,822.52,7
895,Mouse,29.26,5
896,Monitor,444.61,9
897,Impresora,502.61,10
898,Monitor,390.71,7
899,Auriculares,661.92,10
900,Impresora,145.69,1
901,Auriculares,107.33,7
902,Mouse,116.89,3
903,Micrófono,279.52,8
904,Monitor,453.28,6
905,Auriculares,101.57,8
906,Micrófono,76.29,1
907,Mouse,39.26,6
908,Mouse,582.86,3
909,Monitor,449.03,9
910,Teclado,295.38,7
911,Auriculares,213.05,7
912,Teclado,175.29,7
913,Silla Gamer,44.74,10
914,Monitor,393.87,7
915,Silla Gamer,24.2,4
916,Monitor,251.66,2
917,Router WiFi,105.0,9
918,Teclado,324.29,4
919,Auriculares,115.14,8
920,Impresora,822.68,6
921,Router WiFi,343.26,7
922,Router WiFi,115.37,6
923,Auriculares,533.21,5
924,Router WiFi,510.63,3
925,Micrófono,118.38,5
926,Mouse,172.52,3
927,Impresora,343.11,10
928,Teclado,497.87,7
929,Teclado,424.67,9
930,Teclado,481.35,8
931,Webcam,137.01,6
932,Auriculares,534.91,6
933,Laptop,422.96,4
934,Silla Gamer,820.95,9
935,Auriculares,360.28,8
936,Silla Gamer,610.27,8
937,Auriculares,159.4,10
938,Laptop,681.47,4
939,Webcam,47.65,4
940,Impresora,260.24,8
941,Router WiFi,637.15,8
942,Impresora,444.72,10
943,Mouse,242.98,9
944,Micrófono,470.66,1
945,Auriculares,474.24,7
946,Mouse,631.73,4
947,Webcam,747.02,1
948,Auriculares,238.77,2
949,Auriculares,739.12,2
950,Monitor,194.8,10
951,Micrófono,735.59,10
952,Silla Gamer,158.35,3
953,Monitor,696.13,1
954,Router WiFi,311.85,5
955,Router WiFi,467.94,6
956,Webcam,260.79,5
957,Impresora,838.94,2
958,Teclado,820.07,7
959,Laptop,844.75,3
960,Teclado,227.85,6
961,Monitor,652.9,7
962,Auriculares,138.57,5
963,Silla Gamer,332.08,2
964,Mouse,355.06,5
965,Micrófono,398.12,8
966,Micrófono,503.81,2
967,Auriculares,547.73,6
968,Mouse,681.3,7
969,Monitor,824.52,4
970,Auriculares,243.52,5
971,Micrófono,475.04,3
972,Router WiFi,728.43,6
973,Laptop,58.66,8
974,Laptop,123.68,3
975,Auriculares,399.63,7
976,Monitor,847.41,3
977,Webcam,152.53,5
978,Mouse,564.13,5
979,Mouse,329.31,3
980,Laptop,349.66,5
981,Monitor,376.97,2
982,Mouse,21.4,8
983,Mouse,130.71,4
984,Impresora,585.22,1
985,Laptop,598.19,2
986,Silla Gamer,596.89,8
987,Mouse,210.64,2
988,Mouse,106.21,6
989,Webcam,134.38,3
990,Teclado,77.32,10
991,Laptop,527.36,3
992,Auriculares,312.16,4
993,Teclado,784.46,10
994,Auriculares,734.69,2
995,Mouse,136.78,2
996,Router WiFi,626.77,6
997,Silla Gamer,281.69,3
998,Monitor,250.52,2
999,Monitor,480.09,10
1000,Router WiFi,257.12,1
1001,Webcam,191.12,10
1002,Impresora,177.17,7
1003,Webcam,557.14,4
1004,Auriculares,340.97,4
1005,Auriculares,550.42,2
1006,Impresora,758.58,1
1007,Micrófono,796.11,3
1008,Silla Gamer,735.4,10
1009,Silla Gamer,323.97,3
1010,Auriculares,813.16,2
1011,Laptop,508.3,1
1012,Webcam,199.67,1
1013,Silla Gamer,441.24,9
1014,Silla Gamer,372.27,7
1015,Mouse,552.46,9
1016,Router WiFi,147.3,2
1017,Webcam,86.13,4
1018,Teclado,465.97,7
1019,Router WiFi,547.28,2
